measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2012,63.72909394629103,65.82763996347542,61.35688556655825
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2012,67.61491871304085,70.17619739744836,64.63778499312964
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2012,67.95742741813204,70.4009524808618,65.06099038712065
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2012,70.95795515082389,73.92583629606105,67.42956798863455
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2012,56.200346176289074,58.28219775790469,53.93396811535142
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2012,58.51004173998279,61.062905686377384,55.653641221665744
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2012,54.14541337602955,56.16574117780177,51.91590014286171
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2012,55.441536762696465,57.76570270319952,52.70705765197005
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2012,62.68257191121697,64.63179586623934,60.397849169958704
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2012,66.09490944156849,68.51077898040938,63.25346524872813
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2004,61.151002597025645,63.07779387922785,58.9520645094019
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2004,65.75359853802948,68.19058901561468,62.91162977918025
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2004,66.66223984024766,68.94515319711185,63.93855833033369
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2004,70.08813851763186,72.94238052250259,66.72591009422483
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2004,54.03002661485775,55.94953019156122,51.9414099322129
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2004,55.53492137706317,57.9351404258466,52.9533178205375
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2004,50.999686401495936,52.94452620040203,48.90368487040371
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2004,51.45363758749939,53.74955980601469,48.93338669633199
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2004,60.84904433669556,62.68831906347765,58.755511539643535
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2004,64.13297549862972,66.41206063787375,61.44141051220817
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,1996,59.141195093212815,61.03206269881676,57.09724167963351
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,1996,63.848328141302936,66.23731009002482,61.130464598856925
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,1996,64.93030628409932,67.10536678336861,62.309518963752616
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,1996,68.85753853571731,71.65479882497445,65.55830691663914
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,1996,52.36263933315667,54.276186463026626,50.2328530459
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,1996,53.50574360549685,55.84405784623873,50.94635909719047
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,1996,47.808215501498616,49.65083776955071,45.76920670222982
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,1996,48.17400381221342,50.32235442096179,45.69853330984224
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,1996,59.57022998825794,61.388479546762284,57.467517722450474
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,1996,62.50239822039453,64.77556150875782,59.83595087761502
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,1994,58.45504268248503,60.31552892120863,56.43272103803445
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,1994,63.235305549795726,65.54018488288122,60.581881406458905
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,1994,64.45568155668286,66.60692210463704,61.866185097685616
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,1994,68.56337812490915,71.36651889730999,65.26519136574565
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,1994,52.1458239320292,54.042110268386544,50.020537928537685
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,1994,53.30198271736549,55.636591804951934,50.7289539652281
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,1994,45.89010343296929,47.6450851172674,43.96033231856089
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,1994,46.88228562877861,48.96694522035072,44.442607883743584
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,1994,59.22775115478776,61.018472540835226,57.14031030456695
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,1994,61.933641695784566,64.19699929483323,59.347484671437655
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,1997,59.6557322360591,61.55652831613236,57.56492176271996
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,1997,64.22467168218411,66.62471239623564,61.483775686846
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,1997,65.25537039891171,67.44860308659882,62.60838614515277
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,1997,69.04888005327423,71.8590999941543,65.73322350687883
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,1997,52.27327664060709,54.17810703611246,50.12731960944712
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,1997,53.51117125476004,55.838960992632245,50.936192915835505
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,1997,47.97179558154194,49.842927368606595,45.92855955346526
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,1997,48.3917854315413,50.54112440035531,45.93449421019539
