measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,High SDI,Female,<1 year,Years,2017,83.69760077078756,83.86349075392047,83.53304463738435
Life expectancy,Low-middle SDI,Male,<1 year,Years,2017,66.2736800824156,66.86180816898987,65.67320966951421
Life expectancy,Low-middle SDI,Female,<1 year,Years,2017,70.08187867864578,70.6506752293805,69.50406866888622
Life expectancy,Low SDI,Male,<1 year,Years,2017,64.47815718325745,65.12598389697278,63.80253649295642
Life expectancy,Low SDI,Female,<1 year,Years,2017,67.34065583091045,67.94695976480385,66.74634323556562
Life expectancy,Middle SDI,Male,<1 year,Years,2005,69.1990050749926,69.43197448315586,68.97569360205021
Life expectancy,Middle SDI,Female,<1 year,Years,2005,74.4268218975291,74.6216124053635,74.22389907881853
Life expectancy,Middle SDI,Male,<1 year,Years,1996,67.01406001165729,67.27702450701742,66.7421686765346
Life expectancy,Middle SDI,Female,<1 year,Years,1996,71.973112079598,72.20665628250936,71.74104484475308
Life expectancy,Middle SDI,Male,<1 year,Years,2013,70.99058334493401,71.26763168003049,70.72634821218114
Life expectancy,Middle SDI,Female,<1 year,Years,2013,76.51512220653612,76.74943985667643,76.27431780978185
Life expectancy,High-middle SDI,Male,<1 year,Years,1992,66.59544393690183,66.83333635543606,66.34391791750367
Life expectancy,High-middle SDI,Female,<1 year,Years,1992,73.33345710524478,73.53214816365046,73.13291002229218
Life expectancy,High SDI,Male,<1 year,Years,1992,72.96295898788135,72.99358656268573,72.92953778383817
Life expectancy,High SDI,Female,<1 year,Years,1992,79.70644330793148,79.73269813073375,79.68123221646673
Life expectancy,Low-middle SDI,Male,<1 year,Years,1992,59.290512988236564,59.70649559854672,58.877052670029784
Life expectancy,Low-middle SDI,Female,<1 year,Years,1992,62.103682894152925,62.501274566220076,61.70226453266291
Life expectancy,Low SDI,Male,<1 year,Years,1992,53.82523986708385,54.38328460979935,53.26540445063567
Life expectancy,Low SDI,Female,<1 year,Years,1992,55.44292580577754,55.98437156338997,54.91066305157101
Life expectancy,Middle SDI,Male,<1 year,Years,2007,69.87029413526533,70.10629967618866,69.65033617130396
Life expectancy,Middle SDI,Female,<1 year,Years,2007,75.26188988254869,75.45122156754542,75.05232841312323
Life expectancy,High-middle SDI,Male,<1 year,Years,1995,66.06676933282525,66.27108309834924,65.8534359398411
Life expectancy,High-middle SDI,Female,<1 year,Years,1995,73.27831186977394,73.44682479087642,73.10869780270963
Life expectancy,High SDI,Male,<1 year,Years,1995,73.48675822368892,73.51400873595063,73.45634626857968
Life expectancy,High SDI,Female,<1 year,Years,1995,80.08714444507774,80.10986754561594,80.06391712384628
Life expectancy,Low-middle SDI,Male,<1 year,Years,1995,59.81011329737481,60.23684610565072,59.362201652068215
Life expectancy,Low-middle SDI,Female,<1 year,Years,1995,62.786541890078624,63.17171475832768,62.36874796123242
Life expectancy,Low SDI,Male,<1 year,Years,1995,54.74411524261754,55.23034895782251,54.23583195494671
Life expectancy,Low SDI,Female,<1 year,Years,1995,56.566356159293356,57.066503199562995,56.04927600628238
Life expectancy,Middle SDI,Male,<1 year,Years,2003,68.60877611313579,68.83919969747105,68.37721847215798
Life expectancy,Middle SDI,Female,<1 year,Years,2003,73.81422990539488,74.02641037372216,73.60765644578319
Life expectancy,Middle SDI,Male,<1 year,Years,1997,67.20147751512766,67.45844265395039,66.93747147188432
Life expectancy,Middle SDI,Female,<1 year,Years,1997,72.2111529146972,72.44447765031852,71.9848952775789
Life expectancy,Middle SDI,Male,<1 year,Years,2012,70.64695576672162,70.9035032357849,70.3886765011924
Life expectancy,Middle SDI,Female,<1 year,Years,2012,76.30728113381403,76.53177371726761,76.06566822385206
Life expectancy,Middle SDI,Male,<1 year,Years,2006,69.56339144009593,69.7974231923203,69.34740125622031
Life expectancy,Middle SDI,Female,<1 year,Years,2006,74.87354204135606,75.05859560504847,74.66899130790127
Life expectancy,High-middle SDI,Male,<1 year,Years,2004,68.91079200233976,69.08143620794654,68.742362075567
Life expectancy,High-middle SDI,Female,<1 year,Years,2004,75.85003369242459,75.97596521128223,75.7219031395263
Life expectancy,High SDI,Male,<1 year,Years,2004,76.16386554084609,76.18450713219578,76.14380740109252
Life expectancy,High SDI,Female,<1 year,Years,2004,81.95438937680576,81.97323029199816,81.93563934956512
Life expectancy,Low-middle SDI,Male,<1 year,Years,2004,61.822712452163216,62.26775025212329,61.34421937978266
Life expectancy,Low-middle SDI,Female,<1 year,Years,2004,65.16680864974873,65.59452742627505,64.71963468938714
Life expectancy,Low SDI,Male,<1 year,Years,2004,58.63801030789366,59.06317320436511,58.17443236444295
Life expectancy,Low SDI,Female,<1 year,Years,2004,60.65905636857664,61.10055065795663,60.18822167672167
Life expectancy,High-middle SDI,Male,<1 year,Years,2008,70.73966205287073,70.90004852784669,70.57618242965519
Life expectancy,High-middle SDI,Female,<1 year,Years,2008,77.37361988066345,77.49328707544382,77.2424218141133
Life expectancy,High SDI,Male,<1 year,Years,2008,77.10007166349159,77.12284569883963,77.07831107031606
Life expectancy,High SDI,Female,<1 year,Years,2008,82.68973499353652,82.70972989914097,82.668363349105
Life expectancy,Low-middle SDI,Male,<1 year,Years,2008,62.70521858956561,63.18418670941718,62.20381911603596
Life expectancy,Low-middle SDI,Female,<1 year,Years,2008,66.60474626102832,67.0351699027272,66.14780404447258
Life expectancy,Low SDI,Male,<1 year,Years,2008,60.29050453595196,60.71864314300663,59.86399265286303
